State,x,y
Jammu And Kashmir,-81,178
Himachal Pradesh,-73,140
Uttarakhand,-44,119
Punjab,-91,126
Haryana,-80,105
Rajasthan,-108,70
Gujarat,-140,23
Uttar Pradesh,-28,77
Madhya Pradesh,-61,25
Bihar,41,61
Jharkhand,29,33
Maharashtra,-84,-27
Sikkim,70,89
West Bengal,65,28
Arunachal Pradesh,149,113
Assam,132,76
Meghalaya,97,62
Tripura,114,39
Mizoram,135,27
Manipur,144,57
Nagaland,152,76
Chhattisgarh,-5,3
Odisha,34,-11
Karnataka,-88,-87
Kerala,-73,-169
Tamil Nadu,-39,-142
Andhra Pradesh,-33,-88
Telangana,-49,-43
Goa,-106,-86